Vq,Vt,grad,startPriceEthPerB,startFdvUsd,slip005,slip05,slip5,roundTripCostPct,ethToGraduate,soldPctAtGrad,priceMultiple,fdvAtGradUsd,holderRewardsEthAtGrad,score
1.000000,73000000.000000,4.400000,0.931966,1673.811743,6.010101,51.010101,501.010101,1.990000,4.400000,87.507845,29.390927,49194.879406,0.017864,5.000000
1.000000,50000000.000000,3.000000,0.952381,1710.476190,6.010101,51.010101,501.010101,1.990000,3.000000,78.812849,16.076892,27499.141257,0.012160,5.000000
1.000000,50000000.000000,4.400000,0.952381,1710.476190,6.010101,51.010101,501.010101,1.990000,4.400000,85.632095,29.390927,50272.481526,0.017864,5.000000
2.000000,200000000.000000,6.000000,1.666667,2993.333333,3.510101,26.010101,251.010101,1.990000,6.000000,90.108729,16.116612,48242.391029,0.024360,2.000000
1.500000,100000000.000000,6.000000,1.363636,2449.090909,4.343434,34.343434,334.343434,1.990000,6.000000,88.085030,25.194376,61703.318103,0.024360,2.000000
1.500000,200000000.000000,4.400000,1.250000,2245.000000,4.343434,34.343434,334.343434,1.990000,4.400000,89.601475,15.583230,34984.351246,0.017864,2.000000
1.500000,200000000.000000,6.000000,1.250000,2245.000000,4.343434,34.343434,334.343434,1.990000,6.000000,96.092760,25.194376,56561.374928,0.024360,2.000000
1.000000,100000000.000000,4.400000,0.909091,1632.727273,6.010101,51.010101,501.010101,1.990000,4.400000,89.709813,29.390927,47987.368730,0.017864,2.000000
1.000000,100000000.000000,6.000000,0.909091,1632.727273,6.010101,51.010101,501.010101,1.990000,6.000000,94.350770,49.408247,80670.192064,0.024360,2.000000
1.000000,73000000.000000,6.000000,0.931966,1673.811743,6.010101,51.010101,501.010101,1.990000,6.000000,92.034888,49.408247,82700.103701,0.024360,2.000000
1.000000,50000000.000000,6.000000,0.952381,1710.476190,6.010101,51.010101,501.010101,1.990000,6.000000,90.062099,49.408247,84511.629782,0.024360,2.000000
1.000000,200000000.000000,3.000000,0.833333,1496.666667,6.010101,51.010101,501.010101,1.990000,3.000000,90.071828,16.076892,24061.748599,0.012160,2.000000
1.000000,200000000.000000,4.400000,0.833333,1496.666667,6.010101,51.010101,501.010101,1.990000,4.400000,97.865251,29.390927,43988.421335,0.017864,2.000000
1.000000,200000000.000000,6.000000,0.833333,1496.666667,6.010101,51.010101,501.010101,1.990000,6.000000,99.965273,35.875308,53693.377879,0.020160,2.000000
